episode,fast_slot,policy,requests,stages,total_delay,compute_delay,transmission_delay,kkt_virtual_cost,infeasible,service_0,service_1,service_2,service_3,service_4
0,5,lookahead_delta,12.0,32.0,7.149492502212524,5.074406147003174,2.0750863552093506,7.149492502212524,0.0,3.0,6.0,0.0,1.0,2.0
0,5,wms_planner,12.0,32.0,6.891223311424255,5.019270420074463,1.8719528913497925,6.891223311424255,0.0,3.0,6.0,0.0,1.0,2.0
0,6,greedy_delta,13.0,32.0,7.504729747772217,5.315192222595215,2.189537525177002,7.504729747772217,0.0,3.0,6.0,1.0,0.0,3.0
0,6,lookahead_delta,13.0,32.0,7.504729747772217,5.315192222595215,2.189537525177002,7.504729747772217,0.0,3.0,6.0,1.0,0.0,3.0
0,6,wms_planner,13.0,32.0,7.429260730743408,5.2805585861206055,2.1487021446228027,7.429260730743408,0.0,3.0,6.0,1.0,0.0,3.0
0,7,greedy_delta,7.0,17.0,2.6970731616020203,1.9172488451004028,0.7798243165016174,2.6970731616020203,0.0,3.0,3.0,1.0,0.0,0.0
0,7,lookahead_delta,7.0,17.0,2.708415687084198,1.9221762418746948,0.7862394452095032,2.708415687084198,0.0,3.0,3.0,1.0,0.0,0.0
0,7,wms_planner,7.0,17.0,2.7454875707626343,1.9223743677139282,0.823113203048706,2.7454875707626343,0.0,3.0,3.0,1.0,0.0,0.0
0,8,greedy_delta,11.0,23.0,3.992655038833618,2.7953884601593018,1.1972665786743164,3.992655038833618,0.0,5.0,1.0,3.0,0.0,2.0
0,8,lookahead_delta,11.0,23.0,3.992655038833618,2.7953884601593018,1.1972665786743164,3.992655038833618,0.0,5.0,1.0,3.0,0.0,2.0
0,8,wms_planner,11.0,23.0,4.062854528427124,2.8737125396728516,1.1891419887542725,4.062854528427124,0.0,5.0,1.0,3.0,0.0,2.0
0,9,greedy_delta,12.0,35.0,9.220731258392334,6.516199111938477,2.7045321464538574,9.220731258392334,0.0,2.0,7.0,1.0,2.0,0.0
0,9,lookahead_delta,12.0,35.0,9.135414600372314,6.470188140869141,2.665226459503174,9.135414600372314,0.0,2.0,7.0,1.0,2.0,0.0
0,9,wms_planner,12.0,35.0,9.30017614364624,6.7012715339660645,2.598904609680176,9.30017614364624,0.0,2.0,7.0,1.0,2.0,0.0
0,10,greedy_delta,9.0,26.0,4.609396934509277,3.2662782669067383,1.343118667602539,4.609396934509277,0.0,1.0,4.0,1.0,2.0,1.0
0,10,lookahead_delta,9.0,26.0,4.599502801895142,3.2999484539031982,1.2995543479919434,4.599502801895142,0.0,1.0,4.0,1.0,2.0,1.0
0,10,wms_planner,9.0,26.0,4.804499387741089,3.411445140838623,1.3930542469024658,4.804499387741089,0.0,1.0,4.0,1.0,2.0,1.0
0,11,greedy_delta,12.0,32.0,6.971343278884888,4.808864116668701,2.1624791622161865,6.971343278884888,0.0,2.0,4.0,2.0,2.0,2.0
0,11,lookahead_delta,12.0,32.0,6.971343278884888,4.808864116668701,2.1624791622161865,6.971343278884888,0.0,2.0,4.0,2.0,2.0,2.0
0,11,wms_planner,12.0,32.0,6.971343278884888,4.808864116668701,2.1624791622161865,6.971343278884888,0.0,2.0,4.0,2.0,2.0,2.0
0,12,greedy_delta,7.0,18.0,1.8970005512237549,1.4259757995605469,0.471024751663208,1.8970005512237549,0.0,2.0,2.0,0.0,1.0,2.0
0,12,lookahead_delta,7.0,18.0,2.0244019627571106,1.4902241230010986,0.534177839756012,2.0244019627571106,0.0,2.0,2.0,0.0,1.0,2.0
0,12,wms_planner,7.0,18.0,2.165906250476837,1.4675812721252441,0.698324978351593,2.165906250476837,0.0,2.0,2.0,0.0,1.0,2.0
0,13,greedy_delta,5.0,12.0,1.2093438804149628,0.805225670337677,0.40411821007728577,1.2093438804149628,0.0,2.0,2.0,0.0,0.0,1.0
